geometry,address
POINT (37.82988836167465 48.003365900000006),"Донецький національний медичний університет імені М. Горького, Сєрова вулиця, 83003, Сєрова вулиця, Донецьк, Донецька область, Україна"
GEOMETRYCOLLECTION EMPTY,
POINT (34.4641381 31.5050311),"مدينة غزة القديمة, 888, غزة, قطاع غزة, Palestinian Territory"
POINT (34.4767993 31.5547745),"Al Salaten, 500, بيت لاهيا, قطاع غزة, Palestinian Territory"
POINT (35.2767362 33.108647),"مروحين, محافظة الجنوب, لبنان"
GEOMETRYCOLLECTION EMPTY,
POINT (38.251866 48.7561028),"Берестове, 84541, Донецька область, Україна"
GEOMETRYCOLLECTION EMPTY,
GEOMETRYCOLLECTION EMPTY,
POINT (34.2497359056194 31.2425449),"منطقة مراقبة معبر رفح الحدودي, مصر"
POINT (37.7466719 48.1338824),"Авдіївка, 86060-86075, Донецька область, Україна"
POINT (37.50449 48.01068),"Красногорівка, 85630-85634, Донецька область, Україна"
POINT (39.2963953 48.5675612),"Пам'ятник Трудівник Луганщини, Радянська вулиця, 91016, Радянська вулиця, Луганськ, Луганська область, Україна"
GEOMETRYCOLLECTION EMPTY,
POINT (34.2592625 31.2486236),"معبر رفح الحدودي, شارع صلاح الدين, 980, شارع صلاح الدين, Rafah, قطاع غزة, Palestinian Territory"
POINT (33.3917703 47.9102734),"Кривий Ріг, 50000-50479, Дніпропетровська область, Україна"
GEOMETRYCOLLECTION EMPTY,
POINT (35.2269853 33.1011407),"ظهيرة, محافظة الجنوب, لبنان"
POINT (37.50449 48.01068),"Красногорівка, 85630-85634, Донецька область, Україна"
POINT (37.1048855 48.4107019),"Водянське, 85040-85041, Донецька область, Україна"
POINT (34.5562263 31.6355602),"אזור התעשיה הדרומי, 7888909, אשקלון, מחוז הדרום, ישראל"
POINT (37.7688496 48.0805344),"Спартак, 86080, Донецька область, Україна"
POINT (34.7801225 32.075645),"שדרות ח""ן, 6437701, תל אביב-יפו, מחוז תל אביב, ישראל"
POINT (37.67564 48.194191),"Степове, 86046, Донецька область, Україна"
POINT (37.50449 48.01068),"Красногорівка, 85630-85634, Донецька область, Україна"
POINT (35.1716986 33.1139341),"رأس المصري, علما الشعب, محافظة الجنوب, لبنان"
POINT (37.5093211 47.9924943),"Красногорівка, Ватутіна вулиця, 83039, Ватутіна вулиця, Красногорівка, Донецька область, Україна"
POINT (37.67452 48.06604),"Піски, 86053, Донецька область, Україна"
POINT (39.9237036 43.4253834),"Адлер, Сочи, Краснодарский край, Россия"
POINT (37.50449 48.01068),"Красногорівка, 85630-85634, Донецька область, Україна"
GEOMETRYCOLLECTION EMPTY,
POINT (33.2779899 52.004259),"Новгород-Сіверський, 16000, Чернігівська область, Україна"
POINT (35.655228 50.800701),"Красная Яруга, Белгородская область, Россия"
